race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
La Vuelta,21,stage,97,D. GAUDU,david-gaudu,https://www.lavuelta.es/en/rider/133/groupama-fdj/david-gaudu,133,GROUPAMA-FDJ,,,77h 37' 23'',+ 03h 16' 55'',-,B : 14'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,98,E. BUCHMANN,emanuel-buchmann,https://www.lavuelta.es/en/rider/171/cofidis/emanuel-buchmann,171,COFIDIS,,,77h 37' 34'',+ 03h 17' 06'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,99,L. ROULAND,louis-rouland,https://www.lavuelta.es/en/rider/166/arkea-b-b-hotels/louis-rouland,166,ARKEA-B&B HOTELS,,,77h 37' 48'',+ 03h 17' 20'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,100,P. GAMPER,patrick-gamper,https://www.lavuelta.es/en/rider/155/team-jayco-alula/patrick-gamper,155,TEAM JAYCO ALULA,,,77h 39' 12'',+ 03h 18' 44'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,101,G. GLIVAR,gal-glivar,https://www.lavuelta.es/en/rider/74/alpecin-deceuninck/gal-glivar,74,ALPECIN-DECEUNINCK,,,77h 40' 05'',+ 03h 19' 37'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,102,D. DE LA CRUZ,david-de-la-cruz-melgarejo,https://www.lavuelta.es/en/rider/112/q36-5-pro-cycling-team/david-de-la-cruz-melgarejo,112,Q36.5 PRO CYCLING TEAM,,,77h 42' 20'',+ 03h 21' 52'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,103,T. GRUEL,thibaud-gruel,https://www.lavuelta.es/en/rider/134/groupama-fdj/thibaud-gruel,134,GROUPAMA-FDJ,,,77h 44' 31'',+ 03h 24' 03'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,104,L. NERURKAR,lukas-nerurkar,https://www.lavuelta.es/en/rider/84/ef-education-easypost/lukas-nerurkar,84,EF EDUCATION - EASYPOST,,,77h 44' 41'',+ 03h 24' 13'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,105,N. VINOKUROV,nicolya-vinokurov,https://www.lavuelta.es/en/rider/128/xds-astana-team/nicolya-vinokurov,128,XDS ASTANA TEAM,,,77h 47' 08'',+ 03h 26' 40'',-,B : 10'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,106,J. RICKAERT,jonas-rickaert,https://www.lavuelta.es/en/rider/76/alpecin-deceuninck/jonas-rickaert,76,ALPECIN-DECEUNINCK,,,77h 48' 29'',+ 03h 28' 01'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,107,I. GARCIA CORTINA,ivan-garcia-cortina,https://www.lavuelta.es/en/rider/36/movistar-team/ivan-garcia-cortina,36,MOVISTAR TEAM,,,77h 49' 23'',+ 03h 28' 55'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,108,P-A. CÔTÉ,pier-andre-cote,https://www.lavuelta.es/en/rider/222/israel-premier-tech/pier-andre-cote,222,ISRAEL - PREMIER TECH,,,77h 52' 04'',+ 03h 31' 36'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,109,I. OLIVEIRA,ivo-emanuel-alves-oliveira,https://www.lavuelta.es/en/rider/6/uae-team-emirates-xrg/ivo-emanuel-alves-oliveira,6,UAE TEAM EMIRATES XRG,,,77h 52' 09'',+ 03h 31' 41'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,110,C. JUUL-JENSEN,juul-christopher-jensen,https://www.lavuelta.es/en/rider/157/team-jayco-alula/juul-christopher-jensen,157,TEAM JAYCO ALULA,,,77h 52' 56'',+ 03h 32' 28'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,111,J. NICOLAU BELTRAN,joel-nicolau-beltran,https://www.lavuelta.es/en/rider/147/caja-rural-seguros-rga/joel-nicolau-beltran,147,CAJA RURAL-SEGUROS RGA,,,77h 56' 41'',+ 03h 36' 13'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,112,N. ZUKOWSKY,nickolas-zukowsky,https://www.lavuelta.es/en/rider/116/q36-5-pro-cycling-team/nickolas-zukowsky,116,Q36.5 PRO CYCLING TEAM,,,77h 58' 29'',+ 03h 38' 01'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,113,A. VERRE,alessandro-verre,https://www.lavuelta.es/en/rider/167/arkea-b-b-hotels/alessandro-verre,167,ARKEA-B&B HOTELS,,,77h 58' 48'',+ 03h 38' 20'',-,B : 4'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,114,M. CAMPRUBI PIJUAN,marcel-camprubi-pijuan,https://www.lavuelta.es/en/rider/118/q36-5-pro-cycling-team/marcel-camprubi-pijuan,118,Q36.5 PRO CYCLING TEAM,,,78h 00' 04'',+ 03h 39' 36'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,115,K. BONNEU,kamiel-bonneu,https://www.lavuelta.es/en/rider/182/intermarche-wanty/kamiel-bonneu,182,INTERMARCHÉ - WANTY,,,78h 01' 26'',+ 03h 40' 58'',-,-,https://www.lavuelta.es/en/rankings/stage-21
