race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
Tour de France,1,gc,25,Y. VOISARD,yannis-voisard,https://www.letour.fr/en/rider/198/tudor-pro-cycling-team/yannis-voisard,198.0,TUDOR PRO CYCLING TEAM,tudor-pro-cycling-team,https://www.letour.fr/en/team/TUD/tudor-pro-cycling-team,00h 23' 01'',+ 00h 01' 14'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,26,K. VAUQUELIN,kevin-vauquelin,https://www.letour.fr/en/rider/88/netcompany-ineos-cycling-team/kevin-vauquelin,88.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 23' 01'',+ 00h 01' 14'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,27,G. BENNETT,george-bennett,https://www.letour.fr/en/rider/133/nsn-cycling-team/george-bennett,133.0,NSN CYCLING TEAM,nsn-cycling-team,https://www.letour.fr/en/team/NSN/nsn-cycling-team,00h 23' 03'',+ 00h 01' 16'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,28,I. IZAGIRRE,ion-izagirre-insausti,https://www.letour.fr/en/rider/161/cofidis/ion-izagirre-insausti,161.0,COFIDIS,cofidis,https://www.letour.fr/en/team/COF/cofidis,00h 23' 04'',+ 00h 01' 17'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,29,R. GARCIA,raul-garcia-pierna,https://www.letour.fr/en/rider/144/movistar-team/raul-garcia-pierna,144.0,MOVISTAR TEAM,movistar-team,https://www.letour.fr/en/team/MOV/movistar-team,00h 23' 05'',+ 00h 01' 18'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,30,J. ALAPHILIPPE,julian-alaphilippe,https://www.letour.fr/en/rider/191/tudor-pro-cycling-team/julian-alaphilippe,191.0,TUDOR PRO CYCLING TEAM,tudor-pro-cycling-team,https://www.letour.fr/en/team/TUD/tudor-pro-cycling-team,00h 23' 12'',+ 00h 01' 25'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,31,T. TRÆEN,torstein-traeen,https://www.letour.fr/en/rider/127/uno-x-mobility/torstein-traeen,127.0,UNO-X MOBILITY,uno-x-mobility,https://www.letour.fr/en/team/UXM/uno-x-mobility,00h 23' 16'',+ 00h 01' 29'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,32,G. STEINHAUSER,georg-steinhauser,https://www.letour.fr/en/rider/46/ef-education-easypost/georg-steinhauser,46.0,EF EDUCATION - EASYPOST,ef-education-easypost,https://www.letour.fr/en/team/EFE/ef-education-easypost,00h 23' 17'',+ 00h 01' 30'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,33,M. SKJELMOSE,mattias-skjelmose,https://www.letour.fr/en/rider/35/lidl-trek/mattias-skjelmose,35.0,LIDL-TREK,lidl-trek,https://www.letour.fr/en/team/LTK/lidl-trek,00h 23' 20'',+ 00h 01' 33'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,34,L. VAN EETVELT,lennert-van-eetvelt,https://www.letour.fr/en/rider/156/lotto-intermarche/lennert-van-eetvelt,156.0,LOTTO INTERMARCHE,lotto-intermarche,https://www.letour.fr/en/team/LOI/lotto-intermarche,00h 23' 23'',+ 00h 01' 36'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
